,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
47,"El Gemeza","Marwan Pablo",2051,https://open.spotify.com/track/2w27LtQBJvauJ6vDw12ecs
48,"Bahr Shar","Ahmed Abdo",2015,https://open.spotify.com/track/1AZjgKOrI1MVwoDKYlZIdF
49,"El Gholaf X Ozoris","Marwan Pablo",2006,https://open.spotify.com/track/5M7EIx94YOdh1uH0qlzxuK
50,"Heartbreak Anniversary",Giveon,2002,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
51,Samurai,Cairokee,1990,https://open.spotify.com/track/7dTgSeAVu9EWJusdCsRyTo
52,"Bel Salama - Lorry Pt. 2 Remix",Molotof,1975,https://open.spotify.com/track/1OFqfSFPRN5hqTXz0WnUZB
53,"البوصلة ضاعت","Marwan Moussa",1907,https://open.spotify.com/track/3OFejsaM3NDkclJg3rjWI2
54,Tayarat,3enba,1897,https://open.spotify.com/track/55pEJb85n9e412CJtNugQN
55,"Oyouno Lama Ablony","Ramy Sabry",1889,https://open.spotify.com/track/63SfVFcA5kGYX1qJKRHhXR
56,"drivers license","Olivia Rodrigo",1866,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
57,"مفيش مانع",Lege-Cy,1865,https://open.spotify.com/track/7KLy4f8VCsiIEYr69mC4uZ
58,فانتازيا,Lege-Cy,1864,https://open.spotify.com/track/1Ryokp2XGqiw1Mh6NTmKUV
59,"Hadal Ahbek","Issam Alnajjar",1862,https://open.spotify.com/track/0UdZzUSOLhqIFCU7wHWkgp
60,"Ala Ba'ady",Afroto,1837,https://open.spotify.com/track/37Qs3XrDloB2ocXfAhVnmL
61,Whoopty,CJ,1818,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
62,"Jalebi Baby",Tesher,1801,https://open.spotify.com/track/6GKGoi0FHzldk1ZRQoV1fv
63,"Ser Alsada ( Mountain View)","Hussain Aljassmi",1781,https://open.spotify.com/track/1b4eTrznDOiLZX2oWisl2m
64,"كله طار فالمطار","Hoda Bondok",1745,https://open.spotify.com/track/4Ie7oOIUQkXvh1fHBsSlOg
65,Ezayak,Batistuta,1740,https://open.spotify.com/track/27az6aDS4zWJ3yRU7gXJVH
66,"lovely (with Khalid)","Billie Eilish",1738,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
67,"ع الصامت",Lege-Cy,1721,https://open.spotify.com/track/1csotZQdK0em4MN66s3yRS
68,"Baoul Aady","Tamer Ashour",1707,https://open.spotify.com/track/1NkW18VV3QVOCuoVQsBC84
69,"عصفورة - بتنقل الكلام دى مش رجوله","Mohamed Zizo",1690,https://open.spotify.com/track/4Y0HYqCtlXqSCZp3C2UoaY
70,Amrikkka,Shabjdeed,1686,https://open.spotify.com/track/55LLrj5aARUqCLoDEwAp7v
71,Sogara,Afroto,1683,https://open.spotify.com/track/3C6zfNQAGVjYFXaYg7xLTY
72,"Leave The Door Open","Bruno Mars",1666,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
73,"إتنين بليل",Lege-Cy,1640,https://open.spotify.com/track/6kG0pgi6lc00GzIB7OKX2j
74,"The Business",Tiësto,1636,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
75,"Geb Felos",Molotof,1631,https://open.spotify.com/track/71T1Jdg4J5uNesxvFa9hzZ
76,"Eda Eda","El Sawareekh",1628,https://open.spotify.com/track/5srxSzbtZ1t2mL4QfQafYx
