,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
117,"Botella Tras Botella","Freddy Perez",5787,https://open.spotify.com/track/5RJ3TSgTlK9DDv4Jx344yq
118,"Yo Perreo Sola","Bad Bunny",5761,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
119,Azul,"J Balvin",5718,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
120,"Adiós Amor","Christian Nodal",5699,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y
121,Ignorantes,"Bad Bunny",5689,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
122,"Nace Un Borracho","Christian Nodal",5635,https://open.spotify.com/track/6SnO4yCCYtz2rffMpEAlro
123,"Ram Pam Pam","Natti Natasha",5602,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
124,"MÍRENME AHORA","Myke Towers",5526,https://open.spotify.com/track/1QigNNcv8c5X2iL294bZev
125,"deja vu","Olivia Rodrigo",5513,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
126,"Lamento Boliviano","Los Enanitos Verdes",5498,https://open.spotify.com/track/6Pur3hWy6Nzc27ilmsp5HA
127,"Tal Vez","Paulo Londra",5496,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
128,"Viendo el Techo","Jay Wheeler",5496,https://open.spotify.com/track/0iWxrdjwEGOrTC9AszgAJk
129,"Te Vi","Piso 21",5432,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
130,Bonita,Jeeiph,5397,https://open.spotify.com/track/2Q7KYjCv7XaLc0KRGY9m50
131,Poblado,Crissin,5370,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
132,"Los Besos",Greeicy,5369,https://open.spotify.com/track/6QSu3mgC8kUYtEDoBBQcJG
133,"Se Me Olvidó","Christian Nodal",5363,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
134,"Si Me Dices Que Sí",Reik,5354,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
135,"Una Vez","Bad Bunny",5340,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
136,"La Difícil","Bad Bunny",5336,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
137,"The Business",Tiësto,5303,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
138,"Me Dediqué a Perderte","Alejandro Fernández",5296,https://open.spotify.com/track/4NUt1fcnO9aQAELBgXq3Kr
139,WACHA,KHEA,5278,https://open.spotify.com/track/5RmSunLqeDqNWww8LWhAiK
140,Virgen,"Adolescent's Orquesta",5277,https://open.spotify.com/track/5SIoLK4aqXc2UzNrhVHwtp
141,"Te Mando Flores",Fonseca,5269,https://open.spotify.com/track/2in1gSZtv2lRbcZUmN9aAl
142,"Dance Monkey","Tones And I",5243,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
143,Dile,"Don Omar",5239,https://open.spotify.com/track/69Ej1xrGjOcHvIMtMKxK0G
144,"Ella Y Yo - Featuring Don Omar",Aventura,5233,https://open.spotify.com/track/6G4U9avyBNEfP0fAIduev3
145,"Kiss Me More (feat. SZA)","Doja Cat",5205,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
146,"De Cora <3","Rauw Alejandro",5205,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
147,"QUE PRETENDES","J Balvin",5169,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
148,"Colgando en tus manos (con Marta Sánchez)","Carlos Baute",5161,https://open.spotify.com/track/3UI9I3e1g1y5T3SMfdgfGO
149,Llorarás,"Dimension Latina",5154,https://open.spotify.com/track/2naqSVQHgiaoEpxtkVOhmK
