,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
82,"Watermelon Sugar","Harry Styles",6074,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
83,"Si Te Falta Alguien","Christian Nodal",5949,https://open.spotify.com/track/5KcuLISuSBnMFAPVhFnHr5
84,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",5897,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
85,"Mala Costumbre","Manuel Turizo",5773,https://open.spotify.com/track/09WuqcTbf8iMRn8W4N8xBX
86,PROBLEMA,"Daddy Yankee",5719,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
87,"EL BARCO","KAROL G",5692,https://open.spotify.com/track/0MT6qJd7wKlWjH7tP7oWHi
88,"Ropa Cara",Camilo,5624,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
89,"Otra Noche Sin Ti","J Balvin",5594,https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx
90,"Hola - Remix",Dalex,5588,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
91,BURBERRY,"Myke Towers",5560,https://open.spotify.com/track/1cH9JMgvzkOXGKPiegrBjw
92,"Quiéreme Mientras Se Pueda","Manuel Turizo",5532,https://open.spotify.com/track/1WH3iquIQXnSPwUzlROT8R
93,Favorito,Camilo,5521,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
94,Callaita,"Bad Bunny",5454,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
95,Levitating,"Dua Lipa",5425,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
96,"deja vu","Olivia Rodrigo",5416,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
97,2/Catorce,"Rauw Alejandro",5365,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
98,"Se Te Nota (with Guaynaa)","Lele Pons",5356,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
99,"Amor en Coma","Manuel Turizo",5340,https://open.spotify.com/track/0kRU83ecI57Iw1kPTeUwK5
100,Poco,Reik,5332,https://open.spotify.com/track/6VZMIyzOupI4vA68RaUgXb
101,"Si Estuviésemos Juntos","Bad Bunny",5280,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
102,Caramelo,Ozuna,5248,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
103,Safaera,"Bad Bunny",5217,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
104,Vete,"Bad Bunny",5136,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
105,"Vas A Querer Regresar","Christian Nodal",5124,https://open.spotify.com/track/3YFjIEWKr3Da6rJjVWAoxH
106,Rojo,"J Balvin",5110,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
107,Wao,Sech,5089,https://open.spotify.com/track/2B4nQ6yvVVBMqfgOrYtubb
108,"CUANDO ME VEN","Myke Towers",5054,https://open.spotify.com/track/0UlinN0HQMMvezbjG8Ff6U
109,"Miedito o Qué? (feat. KAROL G)","Ovy On The Drums",5029,https://open.spotify.com/track/7MoZgM6AsQaZw14WnKopuy
110,"Sigues Con El","Dímelo Flow",5025,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
111,Up,"Cardi B",5005,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
112,Fantasias,"Rauw Alejandro",4960,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
113,Azul,"J Balvin",4930,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
114,512,Mora,4925,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
115,"Tu Veneno","J Balvin",4908,https://open.spotify.com/track/5KFHrrBMyGj5MhVbZMM3ts
116,Streets,"Doja Cat",4883,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
117,"Me Rehúso","Danny Ocean",4872,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
118,"SR DE LOS CIELOS","Myke Towers",4872,https://open.spotify.com/track/3iug2F7ByIBMVkmLGgt3ir
119,"Toda Remix - Remix","Alex Rose",4868,https://open.spotify.com/track/47ZS1OjnJpJVfGN9yHXfMn
120,"2 Veces","Los Plebes del Rancho de Ariel Camacho",4824,https://open.spotify.com/track/2G5kj8gYNAVM4pQ0IBBaGA
121,"Te Vi","Piso 21",4815,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
122,"EL PONY","Daddy Yankee",4801,https://open.spotify.com/track/3ymdUMzgylwrSfpxdlCUWV
123,"Si Me Dices Que Sí",Reik,4758,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
124,"A Tu Merced","Bad Bunny",4751,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
125,"100 Años","Carlos Rivera",4688,https://open.spotify.com/track/33Va5mHYSweB26k0OsZAdu
126,Ignorantes,"Bad Bunny",4673,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
127,"Dance Monkey","Tones And I",4667,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
128,"Travesuras - Remix","Nio Garcia",4664,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
129,"La Santa","Bad Bunny",4652,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
130,Diosa,"Myke Towers",4643,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
131,"JOVEN LEYENDA","Myke Towers",4636,https://open.spotify.com/track/6uD3PAU7twkPP4o13w49R4
132,"Si Veo a Tu Mamá","Bad Bunny",4612,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
133,Jangueo,"Alex Rose",4598,https://open.spotify.com/track/1bRpSCFv6P2OUhciByeRYR
134,"LO INVERTÍ","Myke Towers",4564,https://open.spotify.com/track/1zgzf9LXZxLIY1cXC7pEfE
135,"Del Mar",Ozuna,4550,https://open.spotify.com/track/5cpJFiNwYyWwFLH0V6B3N8
136,CUENTA,"Myke Towers",4549,https://open.spotify.com/track/2J19dDdM6nmKDbN4AVJ1R4
137,"Sal y Perrea",Sech,4525,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
138,Malbec,Bizarrap,4475,https://open.spotify.com/track/6KEb17S00Inf0v1qYDgUAj
139,"DE NOVELA","Myke Towers",4453,https://open.spotify.com/track/7m6oknLLj0b6HnfB757DaQ
140,Procura,"ChiChi Peralta",4449,https://open.spotify.com/track/2q9udNV9NK0BL3q9p6TLxf
141,"Someone You Loved","Lewis Capaldi",4446,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
142,Arcade,"Duncan Laurence",4434,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
143,"Ponte Pa' Mi","Justin Quiles",4427,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
144,Duele,"Alejandro Fernández",4399,https://open.spotify.com/track/6CFaze42M5wiTqMidNtJLE
145,"HACIENDO QUE ME AMAS","Bad Bunny",4390,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
146,China,"Anuel AA",4390,https://open.spotify.com/track/0KkIkfsLEJbrcIhYsCL7L5
147,"Si Se Da - Remix","Myke Towers",4349,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
