,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
17,"Levitating (feat. DaBaby)","Dua Lipa",25463,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
18,Kivullisii,Nightshift,24982,https://open.spotify.com/track/7uE8IWunB5Wq7q9Wqqqbgh
19,Frida,BEHM,24708,https://open.spotify.com/track/2DnfYBSG1cEcEYieldgp2X
20,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",24441,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
21,"WEST SIDE BABY",ibe,23475,https://open.spotify.com/track/4hAekThpcWg7vMGCUysDQs
22,"Your Love (9PM)",ATB,23245,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
23,"20 Ave Mariaa",ABREU,23082,https://open.spotify.com/track/2SREBxoqvxhB0wQHgLeNVI
24,"I Love You","Teflon Brothers",22725,https://open.spotify.com/track/4sFDPk9PwpHWDcXN8rY2oA
25,Aavikko,"Lauri Tähkä",22652,https://open.spotify.com/track/26tRJottEBj78dqKREPeBT
26,Keväät,Brädi,21840,https://open.spotify.com/track/1qeV3o8LFPqfL0if8StRD2
27,"Save Your Tears","The Weeknd",21625,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
28,"Penelope (feat. Clever)",william,21601,https://open.spotify.com/track/677ly6xN6EUbIL8FPltKle
29,"Vettä kaivoon (feat. Keko Salata)",Aurora,21423,https://open.spotify.com/track/1K0n5SZABSl7kdTPxZh8Gj
30,"The Business",Tiësto,21272,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
31,"Kelle mä soitan",Ilta,20916,https://open.spotify.com/track/0JaJLSes2LpFGit36B7tzm
32,Kyläbaari,"Portion Boys",20596,https://open.spotify.com/track/3H1AVr1EZqacjtG0btvXML
33,"Blinding Lights","The Weeknd",20245,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
34,Dinosauruksii,Ellinoora,19634,https://open.spotify.com/track/33jnfmDEJXHXTQqxs7YPD0
35,"drivers license","Olivia Rodrigo",19141,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
36,"My Head & My Heart","Ava Max",18913,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
37,Runaway,AURORA,18743,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
38,"Epäkohtelias (feat. Axel Kala & Gettomasa)",Pyrythekid,18694,https://open.spotify.com/track/2PxwCd2txr200UiGxm5V2o
39,"Maailma meidän jälkeen",Janna,18579,https://open.spotify.com/track/6nSeXEH8vhorjbsO1fQA8o
40,"Hei rakas",BEHM,18449,https://open.spotify.com/track/2XaewhXngZd2Zi4ijFIkK0
41,"WITHOUT YOU","The Kid LAROI",18306,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
42,"Niinku koko ajan",Erin,18262,https://open.spotify.com/track/1R2nD7Jy1U06uNU3ivJ3zI
43,"Me ei mennä rikki",Gasellit,18253,https://open.spotify.com/track/3KlKNC9vfmdREv97mK0Xce
44,Lääke,VIIVI,17784,https://open.spotify.com/track/5xL99WCxOwOee326Ezf0eP
45,Häpeä,"Erika Vikman",17425,https://open.spotify.com/track/0RGNuiy8E1DdDzFaI6wVdb
46,"Another Love","Tom Odell",17204,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
47,100,Kube,15912,https://open.spotify.com/track/7FVNXExNwkaELYlP7ueELx
48,"Särkymisen arvoinen","Vilma Alina",15652,https://open.spotify.com/track/0birvRmc8Azb0gDFdGfFtl
49,Up,"Cardi B",15507,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
50,Arcade,"Duncan Laurence",15500,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
51,"Nousen ilmaan","DJ Oku Luukkainen",15154,https://open.spotify.com/track/0ITg9oP055HvvToqfkjjuO
52,"Leave The Door Open","Bruno Mars",15031,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
53,"Cover Me In Sunshine",P!nk,14783,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
54,"Ikuinen vappu",JVG,14654,https://open.spotify.com/track/4ycKgmGOtvuJZVPyvBpVVU
55,"Lady Domina","Haloo Helsinki!",14545,https://open.spotify.com/track/2f6H6tU0BRpAMBTr0QQZ2c
56,Taipumaton,"Kaija Koo",14470,https://open.spotify.com/track/6u2G4jqtrquZqqYXRSWnPn
57,"Pohjolan tuulet",Kuningasidea,14424,https://open.spotify.com/track/646tEy4xiSYa4aoWv2Wbca
58,"deja vu","Olivia Rodrigo",14150,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
59,"Syntisten pöytä","Erika Vikman",13635,https://open.spotify.com/track/4LVb1rAYxhnKn0oVTZu6Dp
60,Intiaanikesä,"Mikael Gabriel",13330,https://open.spotify.com/track/7uBz1jhv0PsH3uyRrJbZL1
61,"Tässäkö tää oli? (feat. Leavings-Orkesteri)","Arttu Wiskari",13158,https://open.spotify.com/track/2zCm9ss98FeOedrnKar2vM
62,"Onnellinen loppu","Kaija Koo",12552,https://open.spotify.com/track/28v4AM2ucK1P1bQy4F9xXt
63,"Hullut päivät","Kaija Koo",12544,https://open.spotify.com/track/3DOnCvKw6r8TJp4J4b3NBl
64,Eilen,Pyrythekid,11743,https://open.spotify.com/track/0rcbP5XnvABXjOZQUN27mY
65,"Follow You","Imagine Dragons",11595,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
66,Bonsaipuu,"Aleksanteri Hakaniemi",11252,https://open.spotify.com/track/4vEqvtjkwJCC03otCRd5Pz
67,"Jenny (I Wanna Ruin Our Friendship)","Studio Killers",11248,https://open.spotify.com/track/7lgA34nFXxjqQgyLkPUcLv
68,Aikuisii,"Reino Nordin",11153,https://open.spotify.com/track/3bKFbtcIr4tq1obGrUJ0dp
69,molemmat,ibe,11075,https://open.spotify.com/track/6euiFn8WzBNrl1alWp1udS
70,"Best Friend (feat. Doja Cat)",Saweetie,10919,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
