,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
63,"Ayer Me Llamó Mi Ex – Remix",KHEA,56858,https://open.spotify.com/track/59nnGpAU3AiL2tD0o2It11
64,"Fan de Tus Fotos","Nicky Jam",56659,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
65,Lassie,"La Joaqui",54922,https://open.spotify.com/track/4d9T4bHs1vFSyk1EeB075m
66,"Hasta Abajo","Kevin Roldan",54902,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
67,"drivers license","Olivia Rodrigo",54819,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
68,"Blinding Lights","The Weeknd",54537,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
69,"Ya No Más","Fer Palacio",54042,https://open.spotify.com/track/4gQG2Ic7hnJMAcqunk4ERT
70,"Me Fije","Alex Rose",53852,https://open.spotify.com/track/6Et5KimMg3IXwD6lJPGmQw
71,"Tú Me Dejaste De Querer","C. Tangana",52153,https://open.spotify.com/track/5ddFjrPG8NgQQ6xlOQIVd2
72,"La Curiosidad","Jay Wheeler",51367,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
73,Olvídate,"Kidd Keo",51047,https://open.spotify.com/track/6Y4EGEbQvkh5s3hqcCknca
74,"Don't Start Now","Dua Lipa",50531,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
75,Despeinada,Ozuna,49821,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
76,Jeans,"Justin Quiles",48861,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
77,"Leave The Door Open","Bruno Mars",48449,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
78,"Save Your Tears","The Weeknd",48301,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
79,"High (Remix)","Maria Becerra",47548,https://open.spotify.com/track/2HpbDdD3JLpAPMJFYCeC6o
80,"YSY A: Bzrp Music Sessions, Vol. 37",Bizarrap,47309,https://open.spotify.com/track/1xXQCSt0xkfeGhe18ey2p8
81,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",47112,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
82,"Hold On","Justin Bieber",46550,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
83,"You Belong With Me (Taylor’s Version)","Taylor Swift",46365,https://open.spotify.com/track/1qrpoAMXodY6895hGKoUpA
84,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",45584,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
85,"Mamichula - con Nicki Nicole",Trueno,44721,https://open.spotify.com/track/0TUW9faHNaBmi89wsYGp9y
86,"Se Te Nota (with Guaynaa)","Lele Pons",44220,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
87,"Miedito o Qué? (feat. KAROL G)","Ovy On The Drums",43177,https://open.spotify.com/track/7MoZgM6AsQaZw14WnKopuy
88,"Tu Veneno","J Balvin",42782,https://open.spotify.com/track/5KFHrrBMyGj5MhVbZMM3ts
89,"Me Gusta","Ciro y los Persas",42532,https://open.spotify.com/track/3pMo77B4r1NwwIK78lO4xf
90,LOCATION,"KAROL G",41977,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
91,"Love Story (Taylor’s Version)","Taylor Swift",41768,https://open.spotify.com/track/6YvqWjhGD8mB5QXcbcUKtx
92,Bonita,"El Reja",41310,https://open.spotify.com/track/4KlrEwjhXnHLtmKauxVHJz
93,"Nunca quise",Intoxicados,41258,https://open.spotify.com/track/0ZAJ660VP57lLK4U7NlGOy
94,DUDADE,Dillom,40418,https://open.spotify.com/track/1mjHyr9e7uP0QisX3y7a6T
95,"Prisoner (feat. Dua Lipa)","Miley Cyrus",40300,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
96,"Seguir Viviendo Sin Tu Amor","Luis Alberto Spinetta",40225,https://open.spotify.com/track/2qBirMakpTdz9ymxrZEyzg
97,"La Llevo Al Cielo","Yung Caza",39766,https://open.spotify.com/track/1vaEeP4Su6M4ItEPW51Ll5
98,Mirenla,"Ciro y los Persas",39158,https://open.spotify.com/track/027NtsXW0vpDFhzxsJKmTL
99,Aloha,Maluma,39097,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
100,"Si Me Tomo una Cerveza - Remix",Migrantes,38953,https://open.spotify.com/track/7oySelE0Cb5q1TBBSPZJT2
101,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",38899,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
102,"Heartbreak Anniversary",Giveon,38881,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
