,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
35,"Commitment Issues","Central Cee",168020,https://open.spotify.com/track/0UCKUJU94sx8XBQnaNsRkB
36,"Get Out My Head","Shane Codd",164395,https://open.spotify.com/track/055Mme9ReKK99jRFA5UJ55
37,"Didn't Know","Tom Zanetti",163838,https://open.spotify.com/track/3kNWyHdLVW1x6pn9EnSQ1H
38,"Little More Love","AJ Tracey",155676,https://open.spotify.com/track/53HqOfi7OfHRXzcWTdGJB3
39,Streets,"Doja Cat",153453,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
40,"Mr. Brightside","The Killers",152085,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
41,"We're Good","Dua Lipa",148031,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
42,"Patience (feat. YUNGBLUD & Polo G)",KSI,147566,https://open.spotify.com/track/5J5CpT6bgE6KYKk23jgp9W
43,"Watermelon Sugar","Harry Styles",144481,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
44,Runaway,AURORA,142709,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
45,"Heartbreak Anniversary",Giveon,140118,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
46,"Save Your Tears","The Weeknd",139411,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
47,"Mood (feat. iann dior)",24kGoldn,132438,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
48,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",132292,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
49,"Dreams - 2004 Remaster","Fleetwood Mac",125940,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
50,"Good Days",SZA,121885,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
51,"Another Love","Tom Odell",119853,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
52,"Martin & Gina","Polo G",113194,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
53,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",107691,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
54,"Someone You Loved","Lewis Capaldi",107396,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
55,"Sweet Melody","Little Mix",104013,https://open.spotify.com/track/76Tuo484SLohJakHLnGI3B
56,"Don't Start Now","Dua Lipa",103318,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
57,Goosebumps,HVME,102486,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
58,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,101764,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
59,"Summer 91 (Looking Back)",Noizu,101438,https://open.spotify.com/track/4FEcEwbE2vsqhxbTPtiNTL
60,"Marea (We’ve Lost Dancing)","Fred again..",101187,https://open.spotify.com/track/5Z8Dj3LtbyCMiwE86rhg2f
