,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
78,"Kafamda Kentsel Dönüşümler","İkiye On Kala",42269,https://open.spotify.com/track/22XhZ8DhjqcZ80fO2F1a31
79,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",42086,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
80,Olsun,"Sertab Erener",41852,https://open.spotify.com/track/07Af1vF3LFqNrmLC1Yzs0L
81,"Bir Derdim Var","mor ve ötesi",41730,https://open.spotify.com/track/5oecOcmSEHs7MZiB0NPbFu
82,Whoopty,CJ,41721,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
83,"Blinding Lights","The Weeknd",41567,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
84,"Unuttum Derdimi",Deeperise,41510,https://open.spotify.com/track/62QJlc5UNrMSl8sgIr6BYM
85,"Şimdiki Aklım","Bilal Sonses",41076,https://open.spotify.com/track/3mcvBUQFQLzklDgU1bBnaW
86,"Yapma N'olursun","Dolu Kadehi Ters Tut",40974,https://open.spotify.com/track/5IaqRI0FLDMOdeSIMCNSCB
87,"Gel Desem De Gelme","Melek Mosso",40909,https://open.spotify.com/track/1NzofgUWZYU9JCWgIRVQ3d
88,Kelebekler,Madrigal,40866,https://open.spotify.com/track/3O9G6FQrqhwQxR0GeeF93Q
89,"Huyu Suyu","emir taha",40704,https://open.spotify.com/track/67VXzMGtIrbj52tB6D4djH
90,"Sakince Yoruldum","Kendimden Hallice",40664,https://open.spotify.com/track/0FqKrH1lJPwSjFyLu8ndlN
91,"Bana Sorma - Zeynodisco","Zeynep Bastık",40587,https://open.spotify.com/track/2QxaqKlNW0XZIjppSQJahw
92,Up,"Cardi B",40381,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
93,"Öptüm Nefesinden","Mustafa Ceceli",40305,https://open.spotify.com/track/2ReOPzZ5eaKbZjLhlMjxDT
94,"Seni Kendime Sakladım",Duman,39074,https://open.spotify.com/track/4TjX6QIQVSD3j2VAxlR2wa
95,"Neyin Nesi","Dolu Kadehi Ters Tut",38993,https://open.spotify.com/track/4BH1Z9kmxkq3U1mAYLtHPu
96,"Levitating (feat. DaBaby)","Dua Lipa",38937,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
97,"Dünyadan Uzak",Sakiler,38846,https://open.spotify.com/track/3XoviDE1Zp9Ukz6ZWyZci7
98,"O Bi Karamel",Ozbi,38631,https://open.spotify.com/track/2js8NCrJyyq7AIZXCbJqsi
99,"Kendime Yalan Söyledim",Seksendört,38609,https://open.spotify.com/track/5hYb9RIvqvk8J6mjMNL4pc
100,"Ver O Zaman Gömleklerimi",Sıla,38541,https://open.spotify.com/track/2SNvFw3DuQxfeReepENclp
101,Kül,"Cem Adrian",38346,https://open.spotify.com/track/5NPg92vbjaGk4q9mh7MMEM
102,"Jalebi Baby",Tesher,38163,https://open.spotify.com/track/6GKGoi0FHzldk1ZRQoV1fv
103,"Sweater Weather","The Neighbourhood",38090,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
104,"Merhamet Yok",Orkundk,38054,https://open.spotify.com/track/4uygtPMHsP9DBlJUb7um4s
105,"ALEV ALEV",Zen-G,38036,https://open.spotify.com/track/3URyeJ8TNCK3YH5YQG7Lb1
106,"Giderdi Hoşuma","Yaşlı Amca",38032,https://open.spotify.com/track/0kSXE42CihiQ74IOrXCbO6
107,"Esenyurt Trap Merso",Tuhan,37862,https://open.spotify.com/track/0k8o46BoyAXEVam2IEWOM9
108,"Pembe Mezarlık",Model,37820,https://open.spotify.com/track/2q2uKIUC8wycTQt0183M40
109,Sushi,"Anıl Piyancı",37179,https://open.spotify.com/track/0KHcFbgjZoU7suGwsX88ot
110,"Ölümün Kuzeni",Ceg,36879,https://open.spotify.com/track/2BWjJ4Tv26am2QSzwRpQRk
111,"Acının İlacı",Adamlar,36766,https://open.spotify.com/track/3xegx5QZeKRjlLTUN1xfX1
112,"Devam (feat. Luciano & Ezhel)",Gentleman,36336,https://open.spotify.com/track/0kjKKPlUlB4q54k0e7HoF8
113,"Gel De Sevme","Ebru Yaşar",36226,https://open.spotify.com/track/1Gmwgldn9HMH4SKBxyX5jh
114,HARMAN,BEGE,36127,https://open.spotify.com/track/4kyiiyZXqfwaSRaBtIja74
115,"El Patron",Patron,35939,https://open.spotify.com/track/5h7jMTFPuqd5Equ7jUSFDT
116,Aldattım,"Dolu Kadehi Ters Tut",35918,https://open.spotify.com/track/3z5JtsDmRP4YJgnrlshQLS
117,"Her Şeyi Yak",Duman,35841,https://open.spotify.com/track/4uqlFpMPTKO6uAsX6qvK0l
118,"Slumber Party (feat. Princess Nokia)",Ashnikko,35504,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
119,"lovely (with Khalid)","Billie Eilish",35263,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
120,"Kuytu Köşelerde",Şanışer,35021,https://open.spotify.com/track/145jqpXnJcombk47TB8305
121,Çingenem,"Ebru Gündeş",34900,https://open.spotify.com/track/4zTOUtukd52LzS3bLWwzGc
122,Davetiye,UZI,34892,https://open.spotify.com/track/4PpYi6USHlY7OhOcDASnD3
123,"Seni Çok Özlüyorum",Tuğkan,34417,https://open.spotify.com/track/656AdnBU8khKdbnVq4MdRc
124,İSTANBUL,Zen-G,34208,https://open.spotify.com/track/2qmdgQun2BbLmIRsQsedER
125,Hasbelkader,"Bilal Sonses",33970,https://open.spotify.com/track/5lylTIELvRSbDYKQyrOWBa
126,Geceler,Ezhel,33746,https://open.spotify.com/track/0R0o8uOkDz40XsR6uwThfQ
127,"Gangsta's Paradise",Coolio,33538,https://open.spotify.com/track/7lQWRAjyhTpCWFC0jmclT4
128,Nalan,"Emir Can İğrek",33357,https://open.spotify.com/track/1LNUxWJifZNEPpd273N2le
129,"Üzerime Kalır","Kubilay Karça",33350,https://open.spotify.com/track/3zLhiev9zeg0UHAF50Od9l
130,"1 gr eksik","Lil Zey",33333,https://open.spotify.com/track/0l7ZRPrxH67Q6J03Zt4b4a
131,Dargın,"Zeynep Bastık",33000,https://open.spotify.com/track/0y4qZpjvskqgvPY5Wc1mJU
132,"Neyim Var Ki (feat. Sagopa K)",Ceza,32685,https://open.spotify.com/track/09XOVDSIbBxBf6Kr1vGnHf
133,"Onca Şeyin Ardından","Sagopa Kajmer",32407,https://open.spotify.com/track/49h58JmgimzHHqH2BhI0Dk
134,Aslında,"Resit Kemal",32322,https://open.spotify.com/track/4MtqfY0YxmvpQWszO7pbdQ
135,"Ve Ben","Yaşlı Amca",32093,https://open.spotify.com/track/1oWS0jwIpmZVZMwYTLBRtj
136,"Kendi Yoluna","emir taha",32064,https://open.spotify.com/track/6D2d65RJkkAFQhwf7ZKRmh
137,"Ben Yola Gelmem","Kahraman Deniz",31930,https://open.spotify.com/track/1pvUYJ9obbSXdIemAfzqPo
138,Yeniden,"Ragga Oktay",31828,https://open.spotify.com/track/5yoW8adECpBjG1em4xsaUX
139,"Sen Benim Şarkılarımsın","Cem Adrian",31819,https://open.spotify.com/track/5LPgor25Umb3jZgvTXvBeh
140,"Ölsem Yeridir","Yüzyüzeyken Konuşuruz",31647,https://open.spotify.com/track/7zn6VQuPR6aCLPRcZAA89R
