,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
140,Photograph,"Ed Sheeran",6891,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
141,"Love Story (Taylor’s Version)","Taylor Swift",6851,https://open.spotify.com/track/6YvqWjhGD8mB5QXcbcUKtx
142,"Suasana Hari Raya","Datuk Sharifah Aini",6843,https://open.spotify.com/track/69xmMtzLEVxACrVckHBrY3
143,"Dari Jauh Kupohon Maaf","Dato' Sudirman",6781,https://open.spotify.com/track/3brV0xXqxX3NHvqY1QJ3xj
144,Copines,"Aya Nakamura",6768,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
145,"eight(Prod.&Feat. SUGA of BTS)",IU,6743,https://open.spotify.com/track/0pYacDCZuRhcrwGUA5nTBe
146,"Nazam Lebaran","Dato' Sri Siti Nurhaliza",6613,https://open.spotify.com/track/1liq9fnB5siKzxqajo5hxm
147,willow,"Taylor Swift",6611,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
148,"Hurts So Good","Astrid S",6578,https://open.spotify.com/track/46u5B2WN4wryYLZuMAOmI4
149,Lara,"Hael Husaini",6575,https://open.spotify.com/track/3UQ8YTl0tr1cKxGXGiWwMs
150,Closer,"The Chainsmokers",6574,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
151,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,6567,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK
152,"Blank Space","Taylor Swift",6524,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
153,"Heat Waves","Glass Animals",6502,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
154,夜に駆ける,YOASOBI,6460,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB
155,"Senandung Hari Raya Untukmu","Dayangku Intan",6399,https://open.spotify.com/track/6oPIg3ql5chwh04iS9JfX9
156,"7 rings","Ariana Grande",6391,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
157,"At My Worst (feat. Kehlani)","Pink Sweat$",6382,https://open.spotify.com/track/5OdNjYTpLjuDDPCBNWonRX
158,Penat,"Andi Bernadee",6354,https://open.spotify.com/track/4z5W8NLlyXD7tpZ3LbCRYD
159,"Play Date","Melanie Martinez",6353,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
