,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
17,"Hold On","Justin Bieber",188421,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
18,Up,"Cardi B",185572,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
19,"Little Bit of Love","Tom Grennan",181398,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
20,"Levitating (feat. DaBaby)","Dua Lipa",177254,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
21,"Your Love (9PM)",ATB,176560,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
22,"Save Your Tears","The Weeknd",176475,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
23,"Good Without","Mimi Webb",174764,https://open.spotify.com/track/15OCqNPYoLziEAsbVnqRj5
24,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",170896,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
25,"Blinding Lights","The Weeknd",156460,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
26,"deja vu","Olivia Rodrigo",156182,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
27,"Head & Heart (feat. MNEK)","Joel Corry",152530,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
28,Streets,"Doja Cat",149309,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
29,"Patience (feat. YUNGBLUD & Polo G)",KSI,138009,https://open.spotify.com/track/5J5CpT6bgE6KYKk23jgp9W
30,"Leave The Door Open","Bruno Mars",137140,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
31,"Heartbreak Anniversary",Giveon,134868,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
32,"Paradise (feat. Dermot Kennedy)",MEDUZA,132509,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
33,"My Head & My Heart","Ava Max",130995,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
34,"Let’s Go Home Together","Ella Henderson",129643,https://open.spotify.com/track/4CH0dVylkeBPydRM7AaG8g
35,"Believe Me",Navos,128076,https://open.spotify.com/track/44xO8889yUQHn70P73NILS
36,Loading,"Central Cee",121047,https://open.spotify.com/track/4vzJrkfHbCGaodPA5RY5BV
37,"6 For 6","Central Cee",120719,https://open.spotify.com/track/1tLV0GD0WXQ1Z8BKOQscti
38,"Mood (feat. iann dior)",24kGoldn,120128,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
39,"Good Days",SZA,119752,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
40,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",117015,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
41,"Get Out My Head","Shane Codd",115320,https://open.spotify.com/track/055Mme9ReKK99jRFA5UJ55
42,"Mr. Brightside","The Killers",115042,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
43,"We're Good","Dua Lipa",114362,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
44,"What You Know Bout Love","Pop Smoke",113424,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
45,Anyone,"Justin Bieber",113258,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
46,"Someone You Loved","Lewis Capaldi",112358,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
47,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",108505,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
48,"Latest Trends (feat. Aitch) - Remix","A1 x J1",108198,https://open.spotify.com/track/7htmRcPbmrY9oenatxz9UL
49,Goosebumps,HVME,104600,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
50,Whoopty,CJ,104076,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
51,"Nice To Meet Ya (feat. Yxng Bane)","Wes Nelson",96917,https://open.spotify.com/track/1YHjRAptXqPdsdx3g6FNJL
52,"Watermelon Sugar","Harry Styles",95745,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
53,"Martin & Gina","Polo G",95538,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
54,positions,"Ariana Grande",92742,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
