Position,"Track Name",Artist,URL
22,"Tapão Na Raba","Raí Saia Rodada",https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
23,Gone,ROSÉ,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
24,"Da Porta pra Fora","Elias Monkbel",https://open.spotify.com/track/3z0Tvf6USzIudPOixeOvnZ
25,"Ritmo Envolvente","DJ Menor 7 DJ Menor da Dz7",https://open.spotify.com/track/64112Wjl20AyJnCP5umn3F
26,"Stand Up (From Harriet)","Cynthia Erivo",https://open.spotify.com/track/3wNNbf63xkxw9rIVWtFy7a
27,"AK47 É o Porte do Homem","MC Torugo",https://open.spotify.com/track/5HdghQzJVbvkZuMyvj2k34
28,"Rebola Lentin - Brega Funk","Mc Jeffinho",https://open.spotify.com/track/2DipG601LjxAybSwtOH5cc
29,"Sofa, Breja e Netflix","Mac Júlia",https://open.spotify.com/track/6eIZaT9qNz9lVrhWbJOWls
30,Juliette,Brenno,https://open.spotify.com/track/6MI4zbdctQdvZYVugz0AWw
31,"Rebola Lentinho","Mc Kaio",https://open.spotify.com/track/3bcJIkPhkmoiF31lcHZ96t
32,"Cai de vagarinho até embaixo","Mc Rennan",https://open.spotify.com/track/2p04GXqx4j9sggMTFJpEBa
33,"Não Pode Se Apaixonar","Xand Avião",https://open.spotify.com/track/1HoapWs5KcMzs8QYdgg9Kt
34,"Vou falar que não quero","Vitor Fernandes",https://open.spotify.com/track/6AMTUbWihFZOwOeHxZN2Ge
35,"Amarelo, azul e branco",ANAVITÓRIA,https://open.spotify.com/track/2LOIoeI16A8jjKubPKoCSa
36,"Vai Ver Que um Dia a Gente Se Encontra - Remix","DL no Beat",https://open.spotify.com/track/5hgE8gRcNGrvg8V3Pxjozr
37,"Meu Pisêro","DUDA BEAT",https://open.spotify.com/track/5qGGfyftujLWwzYLSSeovE
38,"Set Dj ws da Igrejinha","DJ Ws da Igrejinha",https://open.spotify.com/track/3a4P2Up3taZ42LKKa4M2gk
39,"Dona Marli","Vinicius Santoz",https://open.spotify.com/track/6bXQTXF5DGEg33A7qWqBga
40,"Foto do Pé",Yamashita,https://open.spotify.com/track/6l4e6z87mdaQNJXhM3uQDb
41,"Short Jeans - Ao Vivo","Hugo Henrique",https://open.spotify.com/track/78G6jgpMdzSEiBPkBLWi9S
42,Saturno,BIN,https://open.spotify.com/track/68cPbG7hJnwDW9nPX1uQcX
43,Rollin',"Brave Girls",https://open.spotify.com/track/2VJOpzv5sBpstCX9venJr5
44,"Por Cima Tu Ta de Mais - Mtg 2020","DJ DOLA do TRIÂNGULO",https://open.spotify.com/track/2nLvQLvndoBu21Ljx8INL0
45,"F* F* M*","Filipe Ret",https://open.spotify.com/track/2D13ouGidILQGRVnihYuCF
46,"Slumber Party",Ashnikko,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
47,"Deixa Fluir","Big Up",https://open.spotify.com/track/6YjjYEAcnlzZavu53uTpDw
48,Arcade,"Duncan Laurence",https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
49,Perdão,Maria,https://open.spotify.com/track/0BYrbDZHhawvqbj3DXDQql
50,Paradigmas,"Jorge & Mateus",https://open.spotify.com/track/158ukl5rih76dOEsp0I91H
