,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
22,"Save Your Tears","The Weeknd",36547,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
23,"WITHOUT YOU","The Kid LAROI",36466,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
24,"Leave The Door Open","Bruno Mars",35047,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
25,Broke,Branco,34841,https://open.spotify.com/track/7AOis8eAHeN5LmGdgVz6CU
26,Solhverv,"Lord Siva",34495,https://open.spotify.com/track/5x6ggDM895CRGHxS3dwRHz
27,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",33708,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
28,"Blinding Lights","The Weeknd",33250,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
29,"What A Life","Scarlet Pleasure",32423,https://open.spotify.com/track/3VEvsFY82950YaqNz2vvyr
30,"Blå Himmel (feat. Hans Philip)",KESI,32017,https://open.spotify.com/track/0qA2qykpcGdVl3tiiYum4g
31,Mums,Tessa,30687,https://open.spotify.com/track/2UsR5UxsuKwJ2OovutZsjV
32,Anyone,"Justin Bieber",30304,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
33,"Heartbreak Anniversary",Giveon,30022,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
34,"Paradise (feat. Dermot Kennedy)",MEDUZA,29444,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
35,"Head & Heart (feat. MNEK)","Joel Corry",28449,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
36,"i morgen er der også en dag","andreas odbjerg",27395,https://open.spotify.com/track/06h2UnXLG2B0d3gRubMGNI
37,"Fall So Hard",Christopher,27274,https://open.spotify.com/track/3pHt7ZLOM4GJQKqorMzeon
38,"deja vu","Olivia Rodrigo",26933,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
39,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",26630,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
40,"Sender mig til månen (feat. Kidd, TopGunn, Klumben & ELOQ)","Cheff Records",24665,https://open.spotify.com/track/0qUlNrJSXzvOvSCOqVwZdc
41,Goosebumps,HVME,24651,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
42,"Jeg Kan Lide Din Vibe (feat. Jimilian)",Skinz,24584,https://open.spotify.com/track/4O6f7F3B9Pfijng54ODN6H
43,Kærlighedssangen,Jimilian,23967,https://open.spotify.com/track/6WELXrF1hsdUZEcasR1DGG
44,"45 Fahrenheit Girl","Drew Sycamore",23680,https://open.spotify.com/track/4gIAPjg42tS0qEHvbTkG4J
45,"No Evil",Branco,22610,https://open.spotify.com/track/7GT52p7q3ZeE97R6L8w5lU
46,"Holy (feat. Chance The Rapper)","Justin Bieber",22343,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
47,"Bando Bitch",Branco,22313,https://open.spotify.com/track/46EJP4xRtHEzOthuhDqo54
48,ErruDumEllaHvad,ICEKIID,20695,https://open.spotify.com/track/5qaaQp6KvkEdB2q7SKQAcJ
49,"Calling My Phone","Lil Tjay",20604,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
50,"Kig Min Vej (feat. NODE)",Gobs,20214,https://open.spotify.com/track/2UjIxGLvpVnMV4PEpdhVAp
51,"Øve Os På Hinanden","Fyr Og Flamme",19637,https://open.spotify.com/track/5KLDajsSLvA5n2zTwKycvF
52,"My Head & My Heart","Ava Max",19532,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
53,"We're Good","Dua Lipa",19250,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
