,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
65,Whoopty,CJ,48610,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
66,"Roses - Imanbek Remix","SAINt JHN",48212,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
67,You,Regard,47534,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
68,Afterglow,"Ed Sheeran",47052,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
69,"Khe Sanh - 2011 Remastered","Cold Chisel",46558,https://open.spotify.com/track/0frIZMaQwtdV4Ee8nhB1te
70,"Before You Go","Lewis Capaldi",46058,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
71,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",44910,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
72,telepatía,"Kali Uchis",44756,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
73,"Go Your Own Way - 2004 Remaster","Fleetwood Mac",44360,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa
74,Riptide,"Vance Joy",43975,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
75,"Booster Seat","Spacey Jane",43938,https://open.spotify.com/track/5th1bFGGaXLM7wDBJpcF06
76,"Be Alright","Dean Lewis",43844,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
77,"Lucid Dreams","Juice WRLD",43806,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
78,Youngblood,"5 Seconds of Summer",43492,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
79,"Savage Love (Laxed - Siren Beat)","Jawsh 685",42797,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
80,"This City","Sam Fischer",42549,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
81,"Falling Up","Dean Lewis",42501,https://open.spotify.com/track/71i3wlanzjflfYz0gkT2W8
82,"Sweater Weather","The Neighbourhood",42234,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
83,"Looking For Me","Paul Woolford",41616,https://open.spotify.com/track/2KYnSFIrSbaKUXWetW7Klt
84,Memories,"Maroon 5",41374,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
85,"SEND IT!","Hooligan Hefs",41336,https://open.spotify.com/track/3QcKhQwiyrQACTeb2pdi3u
86,"Party In The U.S.A.","Miley Cyrus",41076,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
87,"Remember That Night?","Sara Kays",40682,https://open.spotify.com/track/1nYzjrdVQ8RpF93M0jPFW7
88,Dior,"Pop Smoke",40476,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
