,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
47,"Someone You Loved","Lewis Capaldi",17731,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
48,"Good Days",SZA,16344,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
49,"Sweet Melody","Little Mix",15713,https://open.spotify.com/track/76Tuo484SLohJakHLnGI3B
50,"Martin & Gina","Polo G",15582,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
51,"Mr. Brightside","The Killers",15505,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
52,"Roses - Imanbek Remix","SAINt JHN",15275,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
53,Anyone,"Justin Bieber",15271,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
54,"Don't Start Now","Dua Lipa",15115,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
55,"Cover Me In Sunshine",P!nk,14786,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
56,"Goosebumps - Remix","Travis Scott",14656,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
57,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",14422,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
58,"Didn't Know","Tom Zanetti",14196,https://open.spotify.com/track/3kNWyHdLVW1x6pn9EnSQ1H
59,"Dance Monkey","Tones And I",14015,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
60,Summer,"Calvin Harris",13923,https://open.spotify.com/track/6YUTL4dYpB9xZO5qExPf05
61,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,13781,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
62,"Go Your Own Way - 2004 Remaster","Fleetwood Mac",13665,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa
63,Riptide,"Vance Joy",13568,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
64,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",13521,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
65,Shallow,"Lady Gaga",13360,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
66,"Patience (feat. YUNGBLUD & Polo G)",KSI,13255,https://open.spotify.com/track/5J5CpT6bgE6KYKk23jgp9W
67,"Everywhere - 2017 Remaster","Fleetwood Mac",13160,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq
68,"Looking For Me","Paul Woolford",13128,https://open.spotify.com/track/2KYnSFIrSbaKUXWetW7Klt
69,"Best Friend (feat. Doja Cat)",Saweetie,13111,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
70,"The Chain - 2004 Remaster","Fleetwood Mac",13013,https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU
71,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",12760,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
72,"Lasting Lover",Sigala,12757,https://open.spotify.com/track/0DmAvNCAK08oCi7miSZUIY
73,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",12540,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
74,"Summer Of '69","Bryan Adams",12413,https://open.spotify.com/track/6N1EjQjnvhOjFrF6oUmGPa
75,"WAP (feat. Megan Thee Stallion)","Cardi B",12110,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
76,"I Wanna Dance with Somebody (Who Loves Me)","Whitney Houston",12095,https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj
77,Outnumbered,"Dermot Kennedy",12059,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE
78,"Waves - Robin Schulz Radio Edit","Mr. Probz",11932,https://open.spotify.com/track/1HFfMOxCAT4GAwaPfCdmUs
79,You,Regard,11638,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
80,"Someone To You",BANNERS,11543,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
81,Arcade,"Duncan Laurence",11533,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
82,"you broke me first","Tate McRae",11499,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
83,"Here Comes The Sun - Remastered 2009","The Beatles",11481,https://open.spotify.com/track/6dGnYIeXmHdcikdzNNDMm2
84,positions,"Ariana Grande",11404,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
85,34+35,"Ariana Grande",11371,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
86,"Take on Me",a-ha,11354,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L
87,"Rain On Me (with Ariana Grande)","Lady Gaga",11347,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
