,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
60,"Den Eisai Edo",Tamta,7190,https://open.spotify.com/track/3tEIOasqpy7ghhcu5ueqGp
61,"Your Love (9PM)",ATB,7059,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
62,SUPERSTAR,MG,7047,https://open.spotify.com/track/28dgIVVQiTOZlYs3JForb7
63,Solfege,Immune,6919,https://open.spotify.com/track/7eZxh83S9spEfb3gAIcZZW
64,Fimi,"Mad Clip",6900,https://open.spotify.com/track/1ObRO6vf0rLZJ57iT2Y3df
65,"Goosebumps - Remix","Travis Scott",6854,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
66,"drivers license","Olivia Rodrigo",6613,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
67,Dior,"Pop Smoke",6610,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
68,Viktoria,Melisses,6581,https://open.spotify.com/track/6zjzustYTCBqaUiIMY9aJ2
69,Arcade,"Duncan Laurence",6565,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
70,Martini,"Mc Daddy",6552,https://open.spotify.com/track/1vT8DRqCRfKHV9hYykyf1n
71,Carbon,"Mike G",6543,https://open.spotify.com/track/3Xx2UgJt8yzlnnZHIlfqbp
72,Northside,"Thug Slime",6535,https://open.spotify.com/track/3xfrUc1NwAqYLPQIP9Uun2
73,Gjenovese,"Mad Clip",6496,https://open.spotify.com/track/3Ip0y9quoAD4VdUkcdHWSz
74,"TRONE KOLONES",iLLEOo,6437,https://open.spotify.com/track/7dEuJ61zSaKyPU3ymbgV3P
75,"Save Your Tears","The Weeknd",6426,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
76,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",6418,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
77,"Watermelon Sugar","Harry Styles",6411,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
