Position,"Track Name",Artist,Streams,URL
147,Riptide,"Vance Joy",35958,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
148,"Sun Goes Down (Buddy)","Charlotte Cardin",35892,https://open.spotify.com/track/6vmK6cjp7GaAFJoQMCFCpy
149,"Fortunate Son","Creedence Clearwater Revival",35712,https://open.spotify.com/track/4BP3uh0hFLFRb5cjsgLqDh
150,"Ride It",Regard,35698,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
151,"HIGHEST IN THE ROOM","Travis Scott",35520,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
152,Oceans,"Charlotte Cardin",35485,https://open.spotify.com/track/3roySN9ODLAbYeGdxeQhKq
153,"Summer Of '69","Bryan Adams",35265,https://open.spotify.com/track/6N1EjQjnvhOjFrF6oUmGPa
154,"Rain On Me (with Ariana Grande)","Lady Gaga",35203,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
155,"Pop Out (feat. Lil Tjay)","Polo G",35106,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
156,"SICKO MODE","Travis Scott",34893,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
157,"Beautiful Crazy","Luke Combs",34775,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
158,"Fly Away","Tones And I",34743,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
159,"Another One Bites The Dust - Remastered 2011",Queen,34736,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
160,"Adore You","Harry Styles",34705,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
161,Fiel,"Los Legendarios",34699,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
162,"when was it over? (feat. Sam Hunt)","Sasha Sloan",34659,https://open.spotify.com/track/779UN3kabApm2zfqX549vf
163,"Higher Love",Kygo,34566,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
164,"Chicken Fried","Zac Brown Band",34362,https://open.spotify.com/track/3eBnEo9WL34ulBCZlLpUQO
165,"AP - Music from the film Boogie","Pop Smoke",34345,https://open.spotify.com/track/17vGPZ5EsdvtgAOCD4FLWI
166,"Whiskey Glasses","Morgan Wallen",34338,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
167,"Tyler Herro","Jack Harlow",34292,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
168,"The Hills","The Weeknd",34289,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
169,"Way Out (feat. Big Sean)","Jack Harlow",34231,https://open.spotify.com/track/57VeLYXrvNxe8Vs18K2M9W
