,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
38,"Few Days","Amantej Hundal",74098,https://open.spotify.com/track/2ccThCjEt1t1SF72mP7as2
39,"Let Me Down Slowly","Alec Benjamin",72135,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
40,"Aabaad Barbaad",Pritam,71968,https://open.spotify.com/track/3jxNbVmugKWFFc3YAVl0sD
41,Up,"Cardi B",71897,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
42,"The Nights",Avicii,71343,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
43,"Film out",BTS,70287,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
44,Copines,"Aya Nakamura",69593,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
45,positions,"Ariana Grande",67680,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
46,"Saiyaan Ji","Yo Yo Honey Singh",65727,https://open.spotify.com/track/39QJ7KkN3L8LLqQqsO85W1
47,"Life Goes On",BTS,65601,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
48,"Ghungroo (From ""War"")","Arijit Singh",65148,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
49,Jashn-E-Bahaaraa,"A.R. Rahman",64260,https://open.spotify.com/track/1O5mTSQa0sCce9ghhDqIZl
50,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",63715,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
51,"Ghalat Fehmi - From ""Superstar""","Asim Azhar",62338,https://open.spotify.com/track/5mnvugwfFYnJm9zuyGkgqF
52,"Dusk Till Dawn (feat. Sia) - Radio Edit",ZAYN,62203,https://open.spotify.com/track/3e7sxremeOE3wTySiOhGiP
53,telepatía,"Kali Uchis",61992,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
54,"Save Your Tears","The Weeknd",61924,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
55,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",61922,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
56,"Namo Namo","Amit Trivedi",60717,https://open.spotify.com/track/5QtQFSdyZEl0w4iDxAyv76
57,"Saranga Dariya",Mangli,60484,https://open.spotify.com/track/74IQCxI4nws964fic1Q4pv
58,"Taaron Ke Shehar","Neha Kakkar",60138,https://open.spotify.com/track/1r6sFC5J0p9r3jcfIoSGDM
59,"8 Raflaan (feat. Gurlez Akhtar)","Mankirt Aulakh",59849,https://open.spotify.com/track/7vUfIIQiH3K3J5tmN46HE5
60,Makhna,"Tanishk Bagchi",59677,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
61,"Naach Meri Rani","Guru Randhawa",58888,https://open.spotify.com/track/1orM67pmkNc4alrZkWjYkV
62,Closer,"The Chainsmokers",58813,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
63,"Duniyaa (From ""Luka Chuppi"")",Akhil,58782,https://open.spotify.com/track/3s3J70eRpRH2hcYq4mEXTJ
64,Perfect,"Ed Sheeran",58507,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
65,"Teri Aankhon Mein","Darshan Raval",58260,https://open.spotify.com/track/3wmI2n0Whs6kg4MT8jFRU1
66,"Kalank (Title Track)","Arijit Singh",58244,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5
67,"Chitti (From ""Jathi Ratnalu"")","Ram Miriyala",58104,https://open.spotify.com/track/6Z40IRipd6pNcUULY6SXng
68,"How You Like That",BLACKPINK,57833,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
69,"Kun Faya Kun","A.R. Rahman",57791,https://open.spotify.com/track/7F8RNvTQlvbeBLeenycvN6
70,Memories,"Maroon 5",57038,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
71,Libaas,Kaka,56972,https://open.spotify.com/track/0vqw3BCyNr3DDVBmjD21H8
72,"Leave The Door Open","Bruno Mars",56053,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
