,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
30,"Goosebumps - Remix","Travis Scott",5826,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
31,"Снова я напиваюсь","SLAVA MARLOW",5826,https://open.spotify.com/track/18t2lAzaHW2bJomYeyzrpy
32,Венера-Юпитер,"Ваня Дмитриенко",5725,https://open.spotify.com/track/0Ot69EEAbZaZohRSYYu0I7
33,Быстро,"SLAVA MARLOW",5567,https://open.spotify.com/track/2vuRLuYUWwwQgQtg1TzkKj
34,"Levitating (feat. DaBaby)","Dua Lipa",5517,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
35,FAMILY,MORGENSHTERN,5509,https://open.spotify.com/track/2AxEUdsrmwEklnwAbZ53QE
36,"Go! Смув","SODA LUV",5181,https://open.spotify.com/track/7pimTwSxwlq3OeG8ARZqEK
37,"НЕ ЖАЛЬ",104,5046,https://open.spotify.com/track/7MIa5i5Q7kQrrfYKvwnWZ0
38,BESTSELLER,"Max Barskih",4968,https://open.spotify.com/track/6rnmvTLg2KnF0rZUCgRWHH
39,"Follow You","Imagine Dragons",4878,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
40,"Тебе лучше не знать","Tima Belorusskih",4843,https://open.spotify.com/track/0rJ0G0gJomdi076uYy4c6A
41,Minor,"Miyagi & Andy Panda",4839,https://open.spotify.com/track/5m5rShfBQk4UpG7vpsEKzf
42,Неправильно,LOVV66,4718,https://open.spotify.com/track/7gskwSSJ0u2KijosXJorYT
43,"Москва любит...",Scriptonite,4716,https://open.spotify.com/track/41bGn6u78I8eNZg86tx3vp
44,"Блэсс гад","SODA LUV",4696,https://open.spotify.com/track/6l1Ot8lsZj5lzIxWjYHgUh
45,Эйя,Канги,4689,https://open.spotify.com/track/1JIvXMC0aCeLnOCs1EHpNW
46,"По Глазам","SLAVA MARLOW",4574,https://open.spotify.com/track/53bbEINuw0ez3ntLcqYCu2
47,"Infinite Tsukuyomi",ROCKET,4491,https://open.spotify.com/track/1w6yKhAgRhIaZhsWEay2H3
48,KARI,"Big Baby Tape",4387,https://open.spotify.com/track/5qhdXxsc1l7hQHOc1aZaGn
49,"Sweater Weather","The Neighbourhood",4369,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
50,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4316,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
51,Up,"Cardi B",4305,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
52,кискис,zhanulka,4290,https://open.spotify.com/track/6yUw6FLB1g8DqZUv7S5TKA
53,"Кроме тебя","Ivan Dorn",4289,https://open.spotify.com/track/6UHEOqTUJw3CaWLALXQdTh
54,"Therefore I Am","Billie Eilish",4200,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
55,"Mood (feat. iann dior)",24kGoldn,4160,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
56,"Не грусти",NLO,4143,https://open.spotify.com/track/21HaVKuhtUswIXMx9Nglp2
57,"Синий Lamborghini",Rakhim,4079,https://open.spotify.com/track/6PAPPKv7XPCqPEG95UaOFa
58,"Save Your Tears","The Weeknd",3966,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
59,"Пацаны II",GONE.Fludd,3880,https://open.spotify.com/track/6YdFDx6pbPRN1z65i4BYwM
60,HOLIDAY,"Lil Nas X",3878,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
61,Arcade,"Duncan Laurence",3849,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
62,"Your Love (9PM)",ATB,3816,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
63,Губы,JojoHF,3800,https://open.spotify.com/track/7hEps2SpTE29ei0M9EVwBx
64,RAPSTAR,"Polo G",3775,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
65,gorit,DOROFEEVA,3735,https://open.spotify.com/track/4a9FufecE8DI2PjiJnLlpS
66,"Slumber Party (feat. Princess Nokia)",Ashnikko,3720,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
67,Runaway,AURORA,3704,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
68,"Крузак 200",BODIEV,3685,https://open.spotify.com/track/3JtOCVKrs786JHQ02tdP9m
69,Динозаврики,"Папин Олимпос",3680,https://open.spotify.com/track/4tP3JZw4NcKQJitu7F3SCa
70,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,3677,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
