,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
29,"Tout en Gucci",Ninho,128111,https://open.spotify.com/track/0i5GJckWb9uCZU4jcGoBca
30,"1,2,3","Amel Bent",127960,https://open.spotify.com/track/7uCLrBdy5FH6T7vcJzqRd7
31,"Wasted Love (feat. Lagique)",Ofenbach,126299,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
32,"À cœur ouvert","Djadja & Dinaz",122959,https://open.spotify.com/track/1j9kCQ1R2mh2AAieXmZOZ5
33,"Loup noir",SCH,111050,https://open.spotify.com/track/0qPcwdfndSahEBm4pPGZYq
34,"Cœur noir",Eva,109983,https://open.spotify.com/track/0Z8DRG0HgZJ1bIhCQqyzPo
35,"Del Mar",Ozuna,107144,https://open.spotify.com/track/5cpJFiNwYyWwFLH0V6B3N8
36,"Your Love (9PM)",ATB,106419,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
37,Cabeza,OBOY,100611,https://open.spotify.com/track/66tNDqYNR2S6Svwgm3BMi9
38,Médusa,Landy,94636,https://open.spotify.com/track/2hL0WVDLvlxZ60J4YyWvFW
39,"GJS (feat. Jul & SCH)",GIMS,93690,https://open.spotify.com/track/4kfjlrD1hs7VE1dXVM091S
40,"Plein les poches","Djadja & Dinaz",93589,https://open.spotify.com/track/6uAL5MbQ6bOBOrgqf05FK6
41,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",93045,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
42,"Mood (feat. iann dior)",24kGoldn,90239,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
43,"Memories (feat. Kid Cudi) - 2021 Remix","David Guetta",89960,https://open.spotify.com/track/59o6ojGNGJOYiVJSzC6Lsa
44,"Eté 90","Therapie TAXI",89886,https://open.spotify.com/track/1p9dxTMtG4gZpLp7yzvT54
45,Réfléchir,Wejdene,88524,https://open.spotify.com/track/0G4puQDFyihFfN8h6PpVDo
46,"Coffre plein","Koba LaD",87793,https://open.spotify.com/track/70pkwEEG7nDTXBFqoGQkH0
47,"Leave The Door Open","Bruno Mars",86997,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
48,"Blinding Lights","The Weeknd",86591,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
49,"The Business",Tiësto,86485,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
50,"Selfish Love (with Selena Gomez)","DJ Snake",85929,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
51,"All We Got (feat. KIDDO)","Robin Schulz",85131,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
52,"Grand bain",SCH,82616,https://open.spotify.com/track/7n2IirOomwTTGdGZVZ3vCD
53,"LOPSA STORY",1PLIKÉ140,81786,https://open.spotify.com/track/5IDnEkOCdOp1F0XTAMG3Rk
54,"Pilote (feat. Hamza)",PLK,80072,https://open.spotify.com/track/12GV2Wr4p1hBWQCrQcVsew
55,"Love Not War (The Tampa Beat)","Jason Derulo",79509,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
56,Parano,SCH,77075,https://open.spotify.com/track/2pj0SNwkwxVWeFrAYtUAhB
57,"La vie qu'on mène",Ninho,77005,https://open.spotify.com/track/0Jh6iWjna1wk5le0Ahn7No
58,"Girls Like Us","Zoe Wees",76335,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
59,Corrida,SCH,75349,https://open.spotify.com/track/0h5loK7awcpjgerjVSKHCg
60,"Follow You","Imagine Dragons",74760,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
61,Booster,Larry,74301,https://open.spotify.com/track/0Vnmr0cgh7iJbjtKITDJ9S
62,911,Damso,73797,https://open.spotify.com/track/2chIkORxBLpPVgruGiMY8k
63,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",73786,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
