,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
51,Runaway,AURORA,93226,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
52,BED,"Joel Corry",92483,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
53,"GIRL LIKE ME","Black Eyed Peas",91648,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
54,"Il tuo nome","Il Tre",91465,https://open.spotify.com/track/2RVdq0QXC4JxU0X51ZQYaH
55,Mediterranea,Irama,89239,https://open.spotify.com/track/2Up8QSKRV7WnZxZAQasEUq
56,"BUGIE (feat. Rkomi & Carl Brave)",Madame,88426,https://open.spotify.com/track/5dP8HoPhDJ53ILl7oxfA87
57,Destri,Gazzelle,86655,https://open.spotify.com/track/53LX6p75hOcCtAelMDyB8B
58,Amare,"La rappresentante di lista",85397,https://open.spotify.com/track/6hhuex6bSsCfgDffHJmRo9
59,"Wagyu (feat. Night Skinny)","Guè Pequeno",83574,https://open.spotify.com/track/4CNrSGHHPodDltXIt7erD1
60,"Leave The Door Open","Bruno Mars",83449,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
61,Miopia,Franco126,83275,https://open.spotify.com/track/4gsA2p1KSEU4JuHT3a4Q5Z
62,"Head & Heart (feat. MNEK)","Joel Corry",82728,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
63,"Occhi Lucidi","Leon Faun",82700,https://open.spotify.com/track/7dYgzrhdIIjTQTvUjlrWxa
64,"Ride It",Regard,81946,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
65,"Angelina Jolie",Bresh,80797,https://open.spotify.com/track/0tD4EXZRm1JGDYWtKYFLWK
66,"Paradise (feat. Dermot Kennedy)",MEDUZA,80256,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
67,Hypnotized,"Purple Disco Machine",80253,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
68,"The Business",Tiësto,79452,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
69,"guccy bag",sangiovanni,79404,https://open.spotify.com/track/755xh1CnKw8zg2m3Uv4TEX
70,"Italian Hustler (feat. Rasty Kilo)","Guè Pequeno",79193,https://open.spotify.com/track/7us2M1m8cXkpHMBbEgFAiH
71,"SLATT (feat. Capo Plaza)",Rondodasosa,78746,https://open.spotify.com/track/1YvhcTM8aIRTg03AavA2HJ
72,DÁKITI,"Bad Bunny",78730,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
73,"Sorriso Grande","Alessandra Amoroso",78230,https://open.spotify.com/track/7um5BZo08PrrB87Itmml9V
74,"Notti In Bianco",BLANCO,78084,https://open.spotify.com/track/38UoVEHcZ85EGBo6k79643
75,"Follow You","Imagine Dragons",76449,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
76,Estate,Will,76268,https://open.spotify.com/track/7AKMq2HTg8FQs9LE0v9uoy
77,"Sì può darsi","Frah Quintale",75856,https://open.spotify.com/track/69CnKPbui8tAzEZkEtmPEo
78,Street,"Capo Plaza",75744,https://open.spotify.com/track/1AA3XZWWaLTcOgVdeSWg3S
79,"Blue Jeans (feat. Calcutta)",Franco126,74980,https://open.spotify.com/track/2oCVP9C4zHngjyP1Js0HnC
80,"Coltellata (feat. tha Supreme)",Gazzelle,74323,https://open.spotify.com/track/6pswDYZetJz39k41bCXNif
81,"Mille parole","Aka 7even",72734,https://open.spotify.com/track/6jL8DQh1jh3QgAx4O8m0HC
82,"Levitating (feat. DaBaby)","Dua Lipa",72408,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
