,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
36,Arcade,"Duncan Laurence",7535,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
37,"Watermelon Sugar","Harry Styles",7450,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
38,"deja vu","Olivia Rodrigo",7371,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
39,"Take You Dancing","Jason Derulo",7336,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
40,HOLIDAY,"Lil Nas X",6983,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
41,Up,"Cardi B",6979,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
42,Évszakok,"DR BRS",6840,https://open.spotify.com/track/0rHuCRM0BhYtxse5qLv0t6
43,"Goosebumps - Remix","Travis Scott",6651,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
44,Tavasz,"Follow The Flow",6382,https://open.spotify.com/track/5PHgY9VKDWLk5YNA1bKw9f
45,Whoopty,CJ,6378,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
46,aight,Azahriah,6341,https://open.spotify.com/track/6aBPkT8tZnZZ6ILg67OuAh
47,Talán,Manuel,6317,https://open.spotify.com/track/5uWUKvPNekWal505BdKgfD
48,"Hold On","Justin Bieber",6316,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
49,"Szeretni, akit nem lehet","Halott Pénz",6233,https://open.spotify.com/track/0KJzVf3tWWXAYn8U9iUqqt
50,"you broke me first","Tate McRae",6169,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
51,Pók,"Carson Coma",6158,https://open.spotify.com/track/2giauZanWohj58at4OEoeT
52,"Another Love","Tom Odell",6076,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
53,"WITHOUT YOU","The Kid LAROI",5931,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
54,"Don't Start Now","Dua Lipa",5682,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
