,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
23,"Hasta Abajo","Kevin Roldan",45171,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
24,"PURRITO APA",Feid,45102,https://open.spotify.com/track/4e54PAuILqrhjr2ryuMvdq
25,"EL BARCO","KAROL G",44450,https://open.spotify.com/track/0MT6qJd7wKlWjH7tP7oWHi
26,LOCATION,"KAROL G",43168,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
27,"Machu Picchu",Camilo,42546,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
28,"Tu Veneno","J Balvin",41565,https://open.spotify.com/track/5KFHrrBMyGj5MhVbZMM3ts
29,Explícito,"Myke Towers",41442,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
30,"Parce (feat. Justin Quiles)",Maluma,41021,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
31,"TE MUDASTE","Bad Bunny",38966,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
32,"Mi Niña",Wisin,38612,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
33,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",38325,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
34,"Otra Noche Sin Ti","J Balvin",37744,https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx
35,"La Curiosidad","Jay Wheeler",37586,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
36,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",36535,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
37,"La Tóxica",Farruko,36510,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
38,"Blinding Lights","The Weeknd",36475,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
39,"Chica Ideal","Sebastian Yatra",36439,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
40,"Amor en Coma","Manuel Turizo",35354,https://open.spotify.com/track/0kRU83ecI57Iw1kPTeUwK5
41,"No Te Enamores - Remix",Milly,34594,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
42,"Levitating (feat. DaBaby)","Dua Lipa",33162,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
43,"Agua de Jamaica",Maluma,32949,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
44,"Más De La Una","Piso 21",32929,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h
45,"Fan de Tus Fotos","Nicky Jam",32638,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
46,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",32476,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
47,Polvo,"Nicky Jam",31740,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
48,"Las Locuras Mías","Silvestre Dangond",31433,https://open.spotify.com/track/58sCyRSFBV0m60kbV9rtp9
49,"Aquí Abajo","Christian Nodal",30410,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
50,"Save Your Tears","The Weeknd",30179,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
51,Despeinada,Ozuna,29941,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
52,BEBÉ,Camilo,28369,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
53,"Tattoo - Remix with Camilo","Rauw Alejandro",27772,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
54,"Canción Bonita","Carlos Vives",27139,https://open.spotify.com/track/5iF33sXejXwfTuidVHMll0
55,"Vida de Rico",Camilo,26362,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
56,"Relación - Remix",Sech,25805,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
57,"LA CANCIÓN","J Balvin",24453,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
58,"Leave The Door Open","Bruno Mars",23785,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
59,"Pa' Olvidarme De Ella","Piso 21",23206,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
60,Millones,Camilo,23009,https://open.spotify.com/track/3YAnNBdk0uHyakXXzMbNJq
61,"Ponte Pa' Mi","Justin Quiles",21549,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
62,"Don't Start Now","Dua Lipa",21303,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
63,"Ay, DiOs Mío!","KAROL G",20739,https://open.spotify.com/track/1beTDCe7sT7fzm8WIKXicz
64,"CÓMO SE SIENTE - Remix","Jhay Cortez",20543,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
65,Runaway,AURORA,20015,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
66,"Travesuras - Remix","Nio Garcia",20012,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
67,Tusa,"KAROL G",19988,https://open.spotify.com/track/0dKg2vGC1hFqcK5LGTaKzX
68,"Quiéreme Mientras Se Pueda","Manuel Turizo",19859,https://open.spotify.com/track/1WH3iquIQXnSPwUzlROT8R
69,"Mala Costumbre","Manuel Turizo",19721,https://open.spotify.com/track/09WuqcTbf8iMRn8W4N8xBX
70,Jeans,"Justin Quiles",19478,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
71,"No Me Conoce - Remix","Jhay Cortez",18939,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
72,"De Los Besos Que Te Di","Christian Nodal",18748,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
73,Azul,"J Balvin",18679,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
74,"EL PONY","Daddy Yankee",18583,https://open.spotify.com/track/3ymdUMzgylwrSfpxdlCUWV
75,"Mi Cuarto","Jerry Di",18577,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
76,Procura,"ChiChi Peralta",18567,https://open.spotify.com/track/2q9udNV9NK0BL3q9p6TLxf
77,"Watermelon Sugar","Harry Styles",18485,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
78,Rojo,"J Balvin",18449,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
79,"MÍRENME AHORA","Myke Towers",17886,https://open.spotify.com/track/1QigNNcv8c5X2iL294bZev
80,"No Te Contaron Mal","Christian Nodal",17509,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
