,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
32,"Blinding Lights","The Weeknd",2803,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
33,"Hasta Abajo","Kevin Roldan",2801,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
34,Aloha,Maluma,2693,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
35,"Dime Cómo Quieres","Christian Nodal",2682,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
36,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2532,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
37,"Save Your Tears","The Weeknd",2499,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
38,"Hasta Que Me Olvides","Luis Miguel",2477,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
39,"A Tu Merced","Bad Bunny",2471,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
40,"Tattoo - Remix with Camilo","Rauw Alejandro",2453,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
41,"Una Locura",Ozuna,2439,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
42,"La Santa","Bad Bunny",2436,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
43,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",2430,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
44,"Levitating (feat. DaBaby)","Dua Lipa",2417,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
45,"La Jeepeta - Remix","Nio Garcia",2379,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
46,"Si Veo a Tu Mamá","Bad Bunny",2328,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
47,"De Los Besos Que Te Di","Christian Nodal",2315,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
48,"Si Estuviésemos Juntos","Bad Bunny",2292,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
49,"Machu Picchu",Camilo,2280,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
50,"Cabrón y Vago - En Vivo","El Fantasma",2266,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
51,"Relación - Remix",Sech,2262,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
52,"Parce (feat. Justin Quiles)",Maluma,2254,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
53,BEBÉ,Camilo,2250,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
54,"Mi Cuarto","Jerry Di",2224,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
55,"No Me Conoce - Remix","Jhay Cortez",2213,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
56,"HACIENDO QUE ME AMAS","Bad Bunny",2092,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
57,Callaita,"Bad Bunny",2088,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
58,"Ay, DiOs Mío!","KAROL G",2048,https://open.spotify.com/track/1beTDCe7sT7fzm8WIKXicz
