,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
25,"Calling My Phone","Lil Tjay",9422,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
26,Streets,"Doja Cat",9029,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
27,"Save Your Tears","The Weeknd",8835,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
28,"drivers license","Olivia Rodrigo",8337,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
29,"Head & Heart (feat. MNEK)","Joel Corry",8321,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
30,Lerato,"Mr JazziQ",8285,https://open.spotify.com/track/45pqQTTSRYTqHT8hZddAsq
31,Superman,"DJ Stokie",8250,https://open.spotify.com/track/6iKJIYuyGWZ1YTwee1FzBJ
32,Paradise,"Busta 929",8068,https://open.spotify.com/track/2a1O7kNCzspA2otqOpS4fV
33,uLazi,"Mr JazziQ",8058,https://open.spotify.com/track/52j3P6Wla1UVgG2aMCn6Sv
34,"Mood (feat. iann dior)",24kGoldn,8037,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
35,SummerYoMuthi,"Blaq Diamond",7856,https://open.spotify.com/track/1jUn1Fnx0cptNd71CIBWiO
36,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,7317,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
37,"Goosebumps - Remix","Travis Scott",7311,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
38,"deja vu","Olivia Rodrigo",7285,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
39,"Solid (feat. Drake)","Young Stoner Life",7284,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
40,"SDUDLA No Slenda","Busta 929",7278,https://open.spotify.com/track/1groeSjMBG69tC9PdY70H2
41,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",7190,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
42,Anyone,"Justin Bieber",7112,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
43,"WITHOUT YOU","The Kid LAROI",7104,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
44,"Paradise (feat. Dermot Kennedy)",MEDUZA,7087,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
45,"Someone You Loved","Lewis Capaldi",6958,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
46,Banyana,"DJ Maphorisa",6929,https://open.spotify.com/track/3rj4UYvUttaCsXNEuEqAyy
47,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",6926,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
48,"What’s Next",Drake,6798,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
49,Runaway,AURORA,6736,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
50,Amaneighbour,"Killer Kau",6620,https://open.spotify.com/track/0mOoPsb9xZTzFqKLLqvkjL
51,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,6487,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
52,Mamela,"Mi Casa",6386,https://open.spotify.com/track/3mnL4RKOwb5dlzCuaZjzPG
53,"Wants and Needs (feat. Lil Baby)",Drake,6316,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
54,"Best Friend (feat. Doja Cat)",Saweetie,6209,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
55,"Watermelon Sugar","Harry Styles",6178,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
56,"Heat Waves","Glass Animals",6147,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
57,Dinaledi,"Major League Djz",6099,https://open.spotify.com/track/0kNOuZYnpu1RiQTWXUUzE8
58,"Hold On","Justin Bieber",6058,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
59,"Samarian Boy","Musa Keys",5998,https://open.spotify.com/track/61P7fkM3YBSTGCrLBUaWKM
60,Emathandweni,Zandimaz,5784,https://open.spotify.com/track/7ixaxOUwMBj52zEx2rWXaF
61,"Come Through (feat. Chris Brown)",H.E.R.,5736,https://open.spotify.com/track/3krZxyBsWEHfEfJegYaWTd
62,Arcade,"Duncan Laurence",5727,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
63,"Your Love (9PM)",ATB,5708,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
64,"Good Days",SZA,5589,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
65,"Roses - Imanbek Remix","SAINt JHN",5261,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
66,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",5148,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
67,Ekseni,"Busta 929",5085,https://open.spotify.com/track/0XBI9nJMi8lC6BZN3mhLo6
68,"Laugh Now Cry Later (feat. Lil Durk)",Drake,5013,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
69,Spontaan,"Riaan Benadé",4979,https://open.spotify.com/track/5o9w9DqVf7w6AcGM4dDQfr
70,Whoopty,CJ,4973,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
71,Ski,"Young Stoner Life",4859,https://open.spotify.com/track/6755DFiZ7CWe2WMdTGW5C1
72,"Percy Tau","Kamo Mphela",4843,https://open.spotify.com/track/1xspOMs469p7NKQJVHlj24
73,Monate,"Mr JazziQ",4843,https://open.spotify.com/track/1uTj9xpEtnBjvVdwg34crN
74,"Getting Late",Tyla,4815,https://open.spotify.com/track/7iPnbJ1W7wus9QqeBtpuII
75,"Dance Monkey","Tones And I",4804,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
76,"Wishing Well","Juice WRLD",4760,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
77,Kade,Sayfar,4746,https://open.spotify.com/track/2966Ne7gkWcZcrj9aJZsnH
78,HOLIDAY,"Lil Nas X",4743,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
79,uMsholozi,"De Mthuda",4740,https://open.spotify.com/track/0gljB4tf7L1JztTaSBG3AN
80,telepatía,"Kali Uchis",4690,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
81,"Shay'mpempe amapiano mix","Muzzy D Pilot",4669,https://open.spotify.com/track/0ujzok2rT73GoZrokq5Wnc
